,localhour,air1,air2,air3,furnace1,furnace2,waterheater1,total_thermal_load
98,2013-06-29 08:00:00-05,21987.816666666666,11186.0,9247.583333333334,1812.483333333333,2431.566666666666,417.4166666666666,47082.86666666667
99,2013-06-30 08:00:00-05,14717.983333333332,1457.283333333333,3718.9999999999995,917.5999999999998,553.3833333333333,815.8499999999999,22181.1
100,2013-07-01 08:00:00-05,10639.68333333333,1596.7333333333331,2345.4999999999995,658.2,608.1666666666666,795.9499999999998,16644.233333333334
101,2013-07-02 08:00:00-05,9599.783333333333,3544.1999999999994,2778.1666666666665,728.7333333333332,1042.1666666666665,809.2333333333333,18502.28333333333
102,2013-07-03 08:00:00-05,13007.333333333334,5899.0166666666655,3797.2833333333324,921.2333333333332,1516.4833333333333,403.9833333333333,25545.33333333333
103,2013-07-04 08:00:00-05,12779.999999999998,3764.0,3102.233333333333,790.7666666666667,1071.5,826.2833333333331,22334.78333333333
104,2013-07-05 08:00:00-05,16649.166666666668,2617.833333333333,5505.883333333333,1225.85,764.5999999999998,423.35,27186.683333333338
105,2013-07-06 08:00:00-05,15304.583333333332,15989.349999999999,5953.883333333331,1309.8999999999999,3717.683333333333,400.25,42675.649999999994
106,2013-07-07 08:00:00-05,16459.899999999998,4783.916666666666,5169.766666666665,1177.1999999999998,1255.6666666666665,797.2833333333331,29643.733333333334
107,2013-07-08 08:00:00-05,11809.866666666665,2429.7833333333333,2527.4999999999995,704.8999999999999,786.9999999999999,815.0166666666665,19074.066666666662
108,2013-07-09 08:00:00-05,18397.016666666666,5065.433333333332,6211.2,1379.2999999999995,1278.9166666666667,410.51666666666654,32742.38333333334
109,2013-07-10 08:00:00-05,18511.933333333327,5688.9,6596.133333333332,1436.833333333333,1393.5499999999997,414.8833333333333,34042.23333333332
110,2013-07-11 08:00:00-05,19511.616666666665,7224.166666666666,6984.766666666665,1509.2999999999995,1696.0333333333328,833.6166666666666,37759.50000000001
111,2013-07-12 08:00:00-05,19326.533333333336,6318.549999999999,7337.616666666666,1553.2666666666664,1473.15,413.01666666666654,36422.13333333333
112,2013-07-13 08:00:00-05,22475.33333333334,8376.0,8283.983333333332,1714.9833333333333,1877.2333333333333,409.4166666666665,43136.94999999998
113,2013-07-14 08:00:00-05,11685.483333333332,3258.35,2949.5666666666657,788.5333333333334,978.1166666666663,799.7499999999998,20459.8
114,2013-07-15 08:00:00-05,3416.4833333333327,1169.05,0.0,143.48333333333335,555.7333333333331,1156.1166666666666,6440.866666666665
115,2013-07-16 08:00:00-05,9077.916666666668,1844.4666666666665,1337.4666666666665,429.0,687.5833333333334,398.0833333333333,13774.516666666665
116,2013-07-17 08:00:00-05,5303.799999999997,1677.2666666666664,681.35,289.03333333333336,682.4666666666668,1205.5666666666666,9839.483333333334
117,2013-07-18 08:00:00-05,11184.549999999996,4652.399999999999,2569.5833333333326,679.4166666666665,1276.95,397.65,20760.549999999992
118,2013-07-19 08:00:00-05,15246.499999999996,6367.599999999999,4147.516666666666,968.0666666666665,1642.4166666666663,808.6166666666666,29180.71666666666
119,2013-07-20 08:00:00-05,13492.783333333336,3718.2499999999995,3450.8500000000004,855.6666666666665,1088.416666666667,419.9,23025.86666666666
120,2013-07-21 08:00:00-05,14003.8,3692.5499999999997,3431.9666666666662,862.7833333333334,1059.4333333333332,836.6333333333332,23887.166666666664
121,2013-07-22 08:00:00-05,18221.649999999998,4434.716666666667,4950.65,1139.2333333333331,1167.25,821.6499999999999,30735.149999999994
122,2013-07-23 08:00:00-05,15810.883333333331,5101.2666666666655,5647.066666666666,1261.1166666666663,1296.8833333333332,406.55,29523.766666666663
123,2013-07-24 08:00:00-05,16783.166666666664,5192.516666666666,5182.066666666666,1185.4166666666667,1354.0999999999997,831.1499999999999,30528.41666666666
124,2013-07-25 08:00:00-05,18664.73333333333,5480.816666666667,6602.566666666665,1428.3833333333332,1374.416666666667,424.36666666666656,33975.283333333326
125,2013-07-26 08:00:00-05,17512.883333333335,4871.283333333334,6162.216666666665,1343.6166666666666,1264.2333333333331,430.6499999999999,31584.88333333333
126,2013-07-27 08:00:00-05,9680.75,2179.1166666666663,2401.45,660.7666666666664,768.2833333333332,812.5333333333333,16502.899999999998
127,2013-07-28 08:00:00-05,14929.716666666665,5293.783333333333,5122.166666666666,1175.1833333333336,1375.433333333333,829.3666666666666,28725.65
128,2013-07-29 08:00:00-05,16993.55,4562.866666666666,5898.316666666666,1308.0166666666669,1200.5666666666673,408.4166666666665,30371.733333333334
129,2013-07-30 08:00:00-05,19378.916666666668,7057.283333333334,7199.766666666666,1480.0833333333333,1724.5999999999997,831.1,37671.74999999999
130,2013-07-31 08:00:00-05,16776.516666666666,6538.599999999999,22426.299999999996,4427.716666666665,1641.3833333333332,788.2666666666667,52598.78333333333
131,2013-08-01 08:00:00-05,20624.583333333336,8509.816666666666,19545.316666666666,3920.966666666666,1993.5333333333335,1614.533333333333,56208.74999999999
132,2013-08-02 08:00:00-05,19238.066666666662,7716.183333333333,8084.6,1731.4999999999998,1829.133333333333,808.6166666666666,39408.100000000006
133,2013-08-03 08:00:00-05,20776.600000000006,4237.65,7439.9333333333325,1601.3833333333334,1086.85,430.20000000000005,35572.61666666667
134,2013-08-04 08:00:00-05,21364.099999999995,8558.900000000001,6840.283333333333,1495.9833333333331,2060.1666666666665,411.5833333333333,40731.01666666668
135,2013-08-05 08:00:00-05,10528.466666666665,0.0,14296.550000000001,3004.2499999999995,214.74999999999994,826.3166666666666,28870.333333333336
136,2013-08-06 08:00:00-05,13723.966666666662,3827.5666666666666,18371.283333333336,3661.266666666666,976.05,1758.65,42318.78333333333
137,2013-08-07 08:00:00-05,14622.58333333333,4363.699999999999,19165.416666666668,3802.716666666666,1088.883333333333,1113.2499999999998,44156.54999999999
138,2013-08-08 08:00:00-05,14021.849999999997,4384.699999999999,18180.150000000005,3636.216666666665,1090.2499999999995,2636.8666666666663,43950.03333333333
139,2013-08-09 08:00:00-05,18933.099999999995,8427.516666666666,17307.88333333333,3512.2166666666662,2144.7166666666667,800.9833333333331,51126.41666666667
140,2013-08-10 08:00:00-05,19770.683333333334,8812.533333333333,6986.766666666666,1521.2333333333331,2272.316666666667,802.7833333333333,40166.316666666666
141,2013-08-11 08:00:00-05,16182.166666666664,6434.666666666666,15872.516666666666,3268.3166666666652,1731.7,1188.3166666666666,44677.68333333333
142,2013-08-12 08:00:00-05,20291.766666666663,7860.399999999999,8948.83333333333,1941.733333333333,2092.2166666666662,383.9166666666666,41518.86666666666
143,2013-08-13 08:00:00-05,17917.48333333333,7371.533333333332,6713.816666666665,1420.4999999999995,1931.4333333333332,409.95,35764.71666666666
144,2013-08-14 08:00:00-05,15834.183333333332,5892.333333333333,4389.783333333332,1021.7333333333333,1674.683333333333,810.1166666666666,29622.833333333325
145,2013-08-15 08:00:00-05,11675.983333333334,4293.133333333333,3760.2666666666664,902.6166666666664,1319.033333333333,777.3999999999999,22728.433333333327
146,2013-08-16 08:00:00-05,13529.583333333332,6579.116666666666,3567.9166666666656,867.6333333333331,1908.9666666666665,780.7666666666667,27233.983333333334
147,2013-08-17 08:00:00-05,14977.316666666664,2668.4833333333327,3891.916666666667,907.1333333333332,873.3333333333334,406.5,23724.683333333327
148,2013-08-18 08:00:00-05,13181.566666666666,4628.25,4490.833333333333,1017.2166666666665,1334.7999999999997,814.1833333333333,25466.850000000002
149,2013-08-19 08:00:00-05,14280.616666666667,6358.149999999999,4292.149999999999,991.1166666666666,1789.1999999999994,398.86666666666656,28110.100000000002
